Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
240, 1, 1, -73.322822, 17.914544, 8.932975, 7.164671, 0.000000, 1000.000000, 0, 202, 49.826358, 20200515, 06:15:34.2550, 33.08002815, 35.09632924, -999.000000, 1, 0, 0.00000365681980, 8.932975, 6.564671, 11.002552, 2.076039
240, 2, 1, -70.437834, 41.644487, 10.686834, 7.815318, 0.000000, 1000.000000, 203, 405, 149.971171, 20200515, 06:16:55.4540, 33.07912766, 35.09640870, -999.000000, 1, 0, 0.00000428916575, 10.686834, 7.215318, 12.532020, 1.851332
240, 3, 1, -75.763395, 7.226813, 6.321126, 5.462382, 0.000000, 1000.000000, 406, 607, 249.625121, 20200515, 06:18:16.2550, 33.07823159, 35.09648776, -999.000000, 1, 0, 0.00000262715780, 6.321126, 4.862382, 8.028558, 1.713866
240, 4, 1, -81.509527, 1.926755, 6.328304, 5.197649, 0.000000, 1000.000000, 608, 748, 349.282290, 20200515, 06:19:25.2550, 33.07733458, 35.09654704, -999.000000, 1, 0, 0.00000018048177, 6.328304, 4.597649, 7.796152, 1.474202
240, 5, 1, -81.392726, 1.950851, 6.237417, 5.680826, 0.000000, 1000.000000, 749, 886, 449.904610, 20200515, 06:20:20.8550, 33.07642782, 35.09658331, -999.000000, 1, 0, 0.00000019972900, 6.237417, 5.080826, 8.223635, 1.992588
240, 6, 1, -71.654306, 20.825703, 7.071938, 6.242558, 0.000000, 1000.000000, 887, 1024, 549.801219, 20200515, 06:21:16.0540, 33.07552760, 35.09661932, -999.000000, 1, 0, 0.00000102228401, 7.071938, 5.642558, 9.170069, 2.104868
240, 7, 1, -74.748073, 9.972334, 6.904183, 6.524267, 0.000000, 1000.000000, 1025, 1162, 649.701447, 20200515, 06:22:11.2550, 33.07462734, 35.09665533, -999.000000, 1, 0, 0.00000043713661, 6.904183, 5.924267, 9.428819, 2.531832
240, 8, 1, -77.556757, 4.145349, 5.479551, 5.218179, 0.000000, 1000.000000, 1163, 1300, 749.598056, 20200515, 06:23:06.4540, 33.07372712, 35.09669134, -999.000000, 1, 0, 0.00000038881990, 5.479551, 4.618179, 7.329274, 1.855761
240, 9, 1, -74.215585, 7.164212, 4.387682, 4.366167, 0.000000, 1000.000000, 1301, 1438, 849.498285, 20200515, 06:24:01.6550, 33.07282686, 35.09672735, -999.000000, 1, 0, 0.00000047639324, 4.387682, 3.766167, 6.030253, 1.648305
240, 10, 1, -51.109094, 1826.681329, 5.471172, 4.713618, 0.000000, 1000.000000, 1439, 1659, 965.705097, 20200515, 06:25:13.6550, 33.07178220, 35.09673909, -999.000000, 1, 0, 0.00008518809070, 5.471172, 4.113618, 6.820835, 1.356352
240, 11, 1, -61.885710, 129.176911, 4.626622, 4.259717, 0.000000, 1000.000000, 1660, 1980, 1049.985737, 20200515, 06:27:02.0550, 33.07104291, 35.09653016, -999.000000, 1, 0, 0.00002709653431, 4.626622, 3.659717, 5.964471, 1.343744
240, 12, 1, -56.597450, 419.794755, 4.449284, 4.316426, 0.000000, 1000.000000, 1981, 2302, 1149.815533, 20200515, 06:29:10.4540, 33.07016723, 35.09628269, -999.000000, 1, 0, 0.00004131061249, 4.449284, 3.716426, 5.895083, 1.451800
240, 13, 1, -64.770098, 67.814426, 4.718892, 4.534833, 0.000000, 1000.000000, 2303, 2384, 1212.645039, 20200515, 06:30:31.2640, 33.06961611, 35.09612693, -999.000000, 1, 0, 0.00000739979389, 4.718892, 3.934833, 6.341114, 1.627698
240, 17, 1, -71.024217, 19.516603, 5.732369, 4.842900, 0.000000, 1000.000000, 2385, 2533, 1676.723477, 20200515, 06:40:28.1520, 33.06554533, 35.09497650, -999.000000, 1, 0, 0.00000150532272, 5.732369, 4.242900, 7.112313, 1.385857
240, 18, 1, -52.807562, 1039.416693, 4.603139, 4.357002, 0.000000, 1000.000000, 2534, 2855, 1749.808165, 20200515, 06:42:02.1520, 33.06490425, 35.09479532, -999.000000, 1, 0, 0.00005643106464, 4.603139, 3.757002, 6.077502, 1.480740
240, 19, 1, -55.901757, 568.183914, 5.130655, 4.442581, 0.000000, 1000.000000, 2856, 3176, 1849.948960, 20200515, 06:44:10.9510, 33.06402584, 35.09454707, -999.000000, 1, 0, 0.00004356033172, 5.130655, 3.842581, 6.296504, 1.172304
240, 20, 1, -70.114714, 29.237780, 6.965045, 5.356688, 0.000000, 1000.000000, 3177, 3464, 1944.494111, 20200515, 06:46:12.5530, 33.06319651, 35.09431270, -999.000000, 1, 0, 0.00000595321965, 6.965045, 4.756688, 8.225795, 1.266673
